idx,q10,q50,q90,last,y_abs,delta_true,enter_long,enter_short,roll_q_high,roll_q_low,side,profit
207,-6.1347218,0.010375213,5.5414143,38.0,35.348,-2.6520004,0,0,,,0,-0.0
208,-7.215414,0.2951978,7.325111,39.0,36.21923,-2.7807693,0,0,,,0,-0.0
209,-7.435796,0.33046386,7.657918,39.0,33.846153,-5.1538467,0,0,,,0,-0.0
210,-7.2868667,0.3098411,7.7236853,39.0,34.617847,-4.3821526,0,0,,,0,-0.0
211,-7.664019,0.37725708,8.401005,38.0,34.85154,-3.1484604,0,0,,,0,-0.0
212,-8.201672,0.34116992,9.084862,39.0,35.242615,-3.7573853,0,0,,,0,-0.0
213,-7.647677,0.34622023,8.671811,38.0,33.671844,-4.3281555,0,0,,,0,-0.0
214,-7.4062023,0.31829068,8.209778,38.0,34.546,-3.4539986,0,0,,,0,-0.0
215,-6.7216897,0.18935886,6.904766,39.0,33.502308,-5.497692,0,0,,,0,-0.0
216,-7.5531297,0.40164962,8.126345,38.0,34.770924,-3.2290764,0,0,,,0,-0.0
217,-7.65452,0.37553385,8.097671,37.0,33.855846,-3.1441536,0,0,,,0,-0.0
218,-7.5014257,0.34853646,8.069952,36.0,35.692154,-0.30784607,0,0,,,0,-0.0
219,-7.647302,0.38659975,8.392252,35.0,43.294155,8.294155,0,0,,,0,0.0
220,-7.769567,0.31326362,8.473568,35.0,45.701847,10.701847,0,0,,,0,0.0
221,-7.275198,0.30467296,8.160459,35.0,50.584614,15.584614,0,0,,,0,0.0
222,-6.768135,0.18927875,7.2571898,36.0,41.678463,5.678463,0,0,,,0,0.0
223,-6.4696712,0.17348346,6.551463,36.0,47.099075,11.099075,0,0,,,0,0.0
224,-7.367267,0.3730323,7.809647,35.0,46.60754,11.60754,0,0,,,0,0.0
225,-7.5143495,0.3598496,7.8366184,35.0,44.394924,9.394924,0,0,,,0,0.0
226,-7.320804,0.33396217,7.815962,35.0,43.743847,8.743847,0,0,,,0,0.0
227,-7.714392,0.41112265,8.474929,36.0,44.026768,8.026768,0,0,,,0,0.0
228,-7.8574343,0.32758757,8.561926,36.0,30.907846,-5.0921535,0,0,,,0,-0.0
229,-7.46709,0.33785948,8.412857,36.0,32.519386,-3.4806137,0,0,,,0,-0.0
230,-7.082457,0.2536089,7.7178783,36.0,33.767845,-2.2321548,0,0,,,0,-0.0
231,-6.6544294,0.21207309,6.865653,36.0,37.14,1.1399994,0,0,,,0,0.0
232,-7.6090255,0.42100683,8.19068,36.0,37.907845,1.9078445,0,0,,,0,0.0
233,-7.9584875,0.44515762,8.492216,35.0,38.667694,3.667694,0,0,,,0,0.0
234,-7.7798524,0.43175727,8.445619,32.0,39.07677,7.076771,0,0,,,0,0.0
235,-8.086279,0.4942173,9.022301,32.0,39.819077,7.8190765,0,0,,,0,0.0
236,-8.064911,0.3958489,8.955177,32.0,40.200615,8.200615,0,0,,,0,0.0
237,-7.6289744,0.3715386,8.580091,31.0,40.99323,9.993229,0,0,,,0,0.0
238,-7.226588,0.20017993,7.455845,32.0,44.46154,12.46154,0,0,,,0,0.0
239,-6.780828,0.12953207,6.5402336,31.0,43.846,12.846001,0,0,,,0,0.0
240,-7.5481296,0.33490208,7.694815,31.0,43.03154,12.03154,0,0,,,0,0.0
241,-7.8920283,0.38849834,8.214001,31.0,42.17123,11.17123,0,0,,,0,0.0
242,-7.4354224,0.35715517,7.8800793,31.0,42.046925,11.046925,0,0,,,0,0.0
243,-8.025077,0.48177376,8.945826,31.0,41.25677,10.256771,0,0,,,0,0.0
244,-7.957779,0.37347856,8.752844,30.0,42.649864,12.649864,0,0,,,0,0.0
245,-7.506471,0.31927723,8.323626,31.0,41.9381,10.938099,0,0,,,0,0.0
246,-7.9436584,0.3233685,8.73828,32.0,42.431557,10.431557,0,0,,,0,0.0
247,-7.8428273,0.39356455,8.581616,32.0,42.45174,10.45174,0,0,,,0,0.0
248,-8.185501,0.46570113,8.967681,32.0,41.402424,9.402424,0,0,,,0,0.0
249,-8.30861,0.46418026,8.907665,32.0,42.509357,10.509357,0,0,,,0,0.0
250,-8.52004,0.46747229,9.287504,32.0,45.355804,13.355804,0,0,,,0,0.0
251,-8.503956,0.5266189,9.527277,33.0,43.07831,10.078308,0,0,,,0,0.0
252,-8.077208,0.40728936,8.872735,33.0,42.392582,9.392582,0,0,,,0,0.0
253,-7.595247,0.3094815,8.400211,34.0,44.742176,10.742176,0,0,,,0,0.0
254,-7.875723,0.29566,8.694102,35.0,45.14274,10.142738,0,0,,,0,0.0
255,-7.3487287,0.35381493,8.190397,37.0,45.512794,8.5127945,0,0,,,0,0.0
256,-7.814802,0.42796734,8.741511,37.0,44.95802,7.9580193,0,0,,,0,0.0
257,-9.241329,0.5503648,10.466461,36.0,45.287678,9.287678,0,0,,,0,0.0
258,-8.872461,0.3752521,9.217926,37.0,47.68943,10.68943,0,0,,,0,0.0
259,-9.803808,0.23025778,9.732405,35.0,46.503857,11.503857,0,0,,,0,0.0
260,-9.459097,0.24481246,9.336453,35.0,46.83484,11.834839,0,0,,,0,0.0
261,-8.674195,0.363566,9.004744,35.0,47.687695,12.687695,0,0,,,0,0.0
262,-8.029146,0.3799934,8.977947,36.0,49.564423,13.564423,0,0,,,0,0.0
263,-8.02219,0.4676554,8.973049,35.0,54.271854,19.271854,0,0,,,0,0.0
264,-9.246574,0.58206767,10.687698,36.0,60.0,24.0,0,0,,,0,0.0
265,-9.605508,0.54519045,10.847737,35.0,60.0,25.0,0,0,,,0,0.0
266,-9.768568,0.43932807,10.556276,35.0,60.0,25.0,0,0,,,0,0.0
267,-10.44085,0.14012367,10.200134,35.0,60.0,25.0,0,0,,,0,0.0
268,-10.147108,0.18330821,9.936634,36.0,60.0,24.0,0,0,,,0,0.0
269,-6.172607,0.15083775,6.7396517,38.0,57.701145,19.701145,0,0,,,0,0.0
270,-6.967792,0.39820203,7.9864936,39.0,55.883724,16.883724,0,0,,,0,0.0
271,-5.9950686,0.066942774,6.951904,39.0,51.800297,12.800297,0,0,,,0,0.0
272,-8.212317,0.3662227,10.080286,35.0,47.24504,12.245041,0,0,,,0,0.0
273,-8.035527,0.31790638,9.792524,35.0,46.881138,11.881138,0,0,,,0,0.0
274,-8.179387,0.34392676,9.952116,36.0,48.98638,12.986382,0,0,,,0,0.0
275,-8.1553755,0.32761827,9.884285,35.0,48.133907,13.133907,0,0,,,0,0.0
276,-7.941901,0.30473468,9.624435,35.0,49.256966,14.256966,0,0,,,0,0.0
277,-7.472036,0.25380126,9.081026,34.0,48.944317,14.944317,0,0,,,0,0.0
278,-7.3502645,0.29722604,9.04049,29.0,47.49644,18.49644,0,0,,,0,0.0
