idx,mu,abs_mu,last,y_abs,delta_true,enter,side,profit,q_hist
35349,-1.16302,1.16302,33.0,29.649124,-3.3508759,1,-1,3.3508759,1.1314415
35350,-1.0530998,1.0530998,33.0,28.175123,-4.824877,0,0,0.0,1.1314415
35351,-0.7114827,0.7114827,32.0,27.779028,-4.220972,0,0,0.0,1.1312946
35352,-0.7545771,0.7545771,33.0,27.630363,-5.3696365,0,0,0.0,1.1311266
35353,-0.9138626,0.9138626,33.0,26.81933,-6.18067,0,0,0.0,1.1310647
35354,-0.92747784,0.92747784,33.0,26.704298,-6.295702,0,0,0.0,1.1309681
35355,-1.0128427,1.0128427,33.0,27.513084,-5.4869156,0,0,0.0,1.1307862
35356,-1.1299368,1.1299368,33.0,28.207441,-4.7925587,0,0,0.0,1.1306446
35357,-1.1549873,1.1549873,33.0,28.28506,-4.714939,1,-1,4.714939,1.1306046
35358,-1.0481745,1.0481745,33.0,28.981115,-4.0188847,0,0,0.0,1.1306046
35359,-0.7127896,0.7127896,34.0,29.675692,-4.3243084,0,0,0.0,1.1304282
35360,-0.85865796,0.85865796,34.0,29.976692,-4.023308,0,0,0.0,1.1300542
35361,-0.9005285,0.9005285,34.0,28.48823,-5.5117702,0,0,0.0,1.1299437
35362,-0.9333686,0.9333686,34.0,26.48727,-7.5127296,0,0,0.0,1.12991
35363,-0.93629354,0.93629354,33.0,23.231804,-9.768196,0,0,0.0,1.1298778
35364,-1.116799,1.116799,33.0,21.33421,-11.665791,0,0,0.0,1.1298581
35365,-1.1442525,1.1442525,34.0,21.583336,-12.416664,1,-1,12.416664,1.1297889
35366,-1.0303663,1.0303663,34.0,23.775522,-10.224478,0,0,0.0,1.1297889
35367,-0.7167092,0.7167092,34.0,21.286499,-12.713501,0,0,0.0,1.1297566
35368,-0.8492529,0.8492529,35.0,20.229406,-14.770594,0,0,0.0,1.1296093
35369,-0.88047296,0.88047296,35.0,20.752913,-14.2470875,0,0,0.0,1.1295295
35370,-0.93687814,0.93687814,34.0,19.2736,-14.7264,0,0,0.0,1.1294922
35371,-0.93993956,0.93993956,34.0,18.921764,-15.078236,0,0,0.0,1.1294534
35372,-1.1201774,1.1201774,34.0,18.530764,-15.469236,0,0,0.0,1.1294409
35373,-1.1520907,1.1520907,34.0,19.143064,-14.8569355,1,-1,14.8569355,1.1293098
35374,-1.0340346,1.0340346,33.0,19.657751,-13.342249,0,0,0.0,1.1293098
35375,-0.7266305,0.7266305,33.0,18.10657,-14.893431,0,0,0.0,1.1290841
35376,-0.90084285,0.90084285,33.0,18.695095,-14.304905,0,0,0.0,1.1290082
35377,-0.8720185,0.8720185,33.0,16.977184,-16.022816,0,0,0.0,1.1289787
35378,-0.93503934,0.93503934,33.0,17.522999,-15.477001,0,0,0.0,1.1287273
35379,-0.9237258,0.9237258,33.0,18.50015,-14.499849,0,0,0.0,1.1286212
35380,-0.84357876,0.84357876,33.0,17.025673,-15.974327,0,0,0.0,1.1285938
35381,-1.043789,1.043789,33.0,16.80117,-16.19883,0,0,0.0,1.1285605
35382,-0.97841054,0.97841054,34.0,16.533575,-17.466425,0,0,0.0,1.1285354
35383,-0.74564976,0.74564976,33.0,15.886324,-17.113676,0,0,0.0,1.1285036
35384,-0.8970588,0.8970588,33.0,18.561518,-14.438482,0,0,0.0,1.128398
35385,-0.8689175,0.8689175,34.0,17.001621,-16.998379,0,0,0.0,1.1283733
35386,-0.9300056,0.9300056,34.0,16.290745,-17.709255,0,0,0.0,1.1282932
35387,-0.9168021,0.9168021,35.0,18.632738,-16.367262,0,0,0.0,1.1281384
35388,-0.8479151,0.8479151,34.0,21.124323,-12.875677,0,0,0.0,1.1281024
35389,-1.0719129,1.0719129,34.0,23.000572,-10.999428,0,0,0.0,1.1280705
35390,-1.1016861,1.1016861,35.0,21.556793,-13.443207,0,0,0.0,1.1280085
35391,-0.9533663,0.9533663,35.0,20.087677,-14.912323,0,0,0.0,1.127818
35392,-0.9899877,0.9899877,35.0,19.704243,-15.295757,0,0,0.0,1.127818
35393,-1.0031762,1.0031762,34.0,18.397425,-15.602575,0,0,0.0,1.127818
35394,-1.0258396,1.0258396,34.0,19.455992,-14.544008,0,0,0.0,1.1276462
35395,-0.983019,0.983019,33.0,19.61401,-13.38599,0,0,0.0,1.1273513
35396,-0.94079703,0.94079703,33.0,20.493391,-12.506609,0,0,0.0,1.127285
35397,-1.0486718,1.0486718,32.0,19.998112,-12.001888,0,0,0.0,1.127285
35398,-1.1564838,1.1564838,32.0,19.534723,-12.465277,1,-1,12.465277,1.127285
35399,-0.79742426,0.79742426,31.0,18.491827,-12.508173,0,0,0.0,1.1273513
35400,-0.96949184,0.96949184,29.0,18.822735,-10.177265,0,0,0.0,1.1273513
35401,-1.0806084,1.0806084,28.0,17.946856,-10.053144,0,0,0.0,1.1273513
35402,-1.0587761,1.0587761,29.0,18.105917,-10.894083,0,0,0.0,1.127285
35403,-1.0192682,1.0192682,28.0,18.63009,-9.369909,0,0,0.0,1.1272537
35404,-1.0199097,1.0199097,27.0,19.000557,-7.999443,0,0,0.0,1.127141
35405,-0.9216444,0.9216444,28.0,19.884945,-8.115055,0,0,0.0,1.127141
35406,-1.0303577,1.0303577,29.0,18.601357,-10.3986435,0,0,0.0,1.127141
35407,-0.844546,0.844546,29.0,17.220121,-11.779879,0,0,0.0,1.127141
35408,-0.9618875,0.9618875,30.0,17.518862,-12.481138,0,0,0.0,1.127141
35409,-1.0805568,1.0805568,30.0,17.408314,-12.591686,0,0,0.0,1.127141
35410,-1.0204104,1.0204104,31.0,17.663282,-13.336718,0,0,0.0,1.1270965
35411,-1.0828861,1.0828861,30.0,16.480772,-13.519228,0,0,0.0,1.1269087
35412,-1.1805032,1.1805032,28.0,16.07139,-11.92861,1,-1,11.92861,1.1268517
35413,-1.2207139,1.2207139,25.0,14.301268,-10.698732,1,-1,10.698732,1.1269087
35414,-0.84555364,0.84555364,23.0,14.366133,-8.633867,0,0,0.0,1.1270965
35415,-1.1562701,1.1562701,22.0,14.68333,-7.3166704,1,-1,7.3166704,1.1270965
35416,-0.98311025,0.98311025,24.0,17.368309,-6.631691,0,0,0.0,1.127141
35417,-1.156716,1.156716,23.0,18.461214,-4.538786,1,-1,4.538786,1.127141
35418,-0.67903626,0.67903626,21.0,18.801373,-2.1986275,0,0,0.0,1.127141
35419,-0.9625264,0.9625264,22.0,20.961855,-1.0381451,0,0,0.0,1.1270965
35420,-1.2751503,1.2751503,22.0,19.72028,-2.2797203,1,-1,2.2797203,1.1269087
35421,-1.404531,1.404531,21.0,18.793554,-2.2064457,1,-1,2.2064457,1.1270965
35422,-1.1135249,1.1135249,21.0,19.235775,-1.764225,0,0,0.0,1.127141
35423,-0.7643224,0.7643224,22.0,19.920856,-2.0791435,0,0,0.0,1.127141
35424,-0.82236177,0.82236177,22.0,18.942318,-3.057682,0,0,0.0,1.127141
35425,-0.976486,0.976486,22.0,18.60103,-3.3989697,0,0,0.0,1.127141
35426,-1.0614239,1.0614239,21.0,18.71976,-2.280239,0,0,0.0,1.1270965
35427,-1.0813121,1.0813121,21.0,19.547998,-1.4520016,0,0,0.0,1.1269087
35428,-1.0648003,1.0648003,22.0,17.916245,-4.0837555,0,0,0.0,1.1268517
35429,-0.9392463,0.9392463,22.0,16.973421,-5.026579,0,0,0.0,1.1268517
35430,-1.0708079,1.0708079,21.0,17.81541,-3.1845894,0,0,0.0,1.1268517
35431,-1.1581619,1.1581619,21.0,18.34563,-2.6543694,1,-1,2.6543694,1.1268517
35432,-1.1264344,1.1264344,21.0,19.680468,-1.3195324,0,0,0.0,1.1269087
35433,-1.2600535,1.2600535,21.0,20.592173,-0.40782738,1,-1,0.40782738,1.1269087
35434,-1.2533714,1.2533714,22.0,21.197142,-0.80285835,1,-1,0.80285835,1.1269087
35435,-1.0898958,1.0898958,22.0,20.373285,-1.6267147,0,0,0.0,1.1269087
35436,-1.0754496,1.0754496,21.0,21.065844,0.06584358,0,0,-0.0,1.1268517
35437,-0.9344775,0.9344775,23.0,21.56522,-1.4347801,0,0,0.0,1.1268517
35438,-1.0999869,1.0999869,25.0,21.426664,-3.5733356,0,0,0.0,1.1268517
35439,-1.1413431,1.1413431,27.0,24.015291,-2.9847088,1,-1,2.9847088,1.1268517
35440,-1.2182909,1.2182909,27.0,25.53547,-1.464531,1,-1,1.464531,1.1269087
35441,-1.2323023,1.2323023,26.0,26.211351,0.2113514,1,-1,-0.2113514,1.1270965
35442,-1.2395865,1.2395865,24.0,26.100552,2.1005516,1,-1,-2.1005516,1.1270965
35443,-1.023652,1.023652,24.0,26.784521,2.784521,0,0,-0.0,1.1270965
35444,-1.0680494,1.0680494,24.0,26.335558,2.335558,0,0,-0.0,1.1269087
35445,-0.910167,0.910167,24.0,26.022991,2.0229912,0,0,-0.0,1.1269087
35446,-1.1301779,1.1301779,25.0,26.444033,1.4440327,1,-1,-1.4440327,1.1269087
35447,-1.1281649,1.1281649,25.0,26.695826,1.6958256,1,-1,-1.6958256,1.1270965
35448,-1.202432,1.202432,24.0,25.041744,1.0417442,1,-1,-1.0417442,1.127141
35449,-1.2307972,1.2307972,23.0,24.886623,1.8866234,1,-1,-1.8866234,1.1272537
35450,-1.2355988,1.2355988,23.0,25.734966,2.7349663,1,-1,-2.7349663,1.1272537
35451,-1.0170251,1.0170251,23.0,25.496912,2.496912,0,0,-0.0,1.1272537
35452,-1.0693831,1.0693831,23.0,26.244535,3.2445354,0,0,-0.0,1.127141
35453,-0.91461223,0.91461223,23.0,26.087975,3.0879745,0,0,-0.0,1.127141
35454,-1.1399329,1.1399329,24.0,27.613195,3.6131954,1,-1,-3.6131954,1.127141
35455,-1.1356827,1.1356827,24.0,30.046759,6.0467587,1,-1,-6.0467587,1.1272537
35456,-1.2063729,1.2063729,24.0,31.184622,7.184622,1,-1,-7.184622,1.127285
35457,-1.2327192,1.2327192,23.0,29.894297,6.8942966,1,-1,-6.8942966,1.1273513
35458,-1.226895,1.226895,22.0,30.0949,8.0949,1,-1,-8.0949,1.1273513
35459,-1.0151211,1.0151211,23.0,30.214787,7.2147865,0,0,-0.0,1.1273513
35460,-1.0719469,1.0719469,22.0,29.736296,7.7362957,0,0,-0.0,1.1273513
35461,-0.90864605,0.90864605,22.0,29.581951,7.581951,0,0,-0.0,1.1273513
35462,-1.1433562,1.1433562,21.0,32.536995,11.536995,1,-1,-11.536995,1.1273513
35463,-0.97876304,0.97876304,21.0,33.231285,12.231285,0,0,-0.0,1.1276462
35464,-0.5942442,0.5942442,21.0,33.59467,12.594669,0,0,-0.0,1.1276462
35465,-0.51033676,0.51033676,21.0,32.855606,11.855606,0,0,-0.0,1.1276462
35466,-0.9404272,0.9404272,23.0,34.00611,11.006111,0,0,-0.0,1.1273513
35467,-1.0588257,1.0588257,24.0,34.233913,10.233913,0,0,-0.0,1.127285
35468,-1.0515743,1.0515743,25.0,32.633205,7.6332054,0,0,-0.0,1.127285
35469,-0.96996266,0.96996266,25.0,30.922493,5.922493,0,0,-0.0,1.127285
35470,-1.0979289,1.0979289,25.0,30.693857,5.693857,0,0,-0.0,1.127285
35471,-0.95366126,0.95366126,24.0,30.849121,6.849121,0,0,-0.0,1.127285
35472,-0.7224217,0.7224217,23.0,30.876194,7.876194,0,0,-0.0,1.127285
35473,-0.6817662,0.6817662,23.0,30.80038,7.8003807,0,0,-0.0,1.127285
35474,-0.9856064,0.9856064,23.0,31.387455,8.387455,0,0,-0.0,1.1272537
35475,-1.0735626,1.0735626,22.0,30.535631,8.535631,0,0,-0.0,1.127141
35476,-1.0777014,1.0777014,22.0,29.986282,7.9862823,0,0,-0.0,1.127141
35477,-1.0497376,1.0497376,22.0,29.141266,7.141266,0,0,-0.0,1.127141
35478,-0.7017151,0.7017151,21.0,29.853043,8.853043,0,0,-0.0,1.127141
35479,-0.86985093,0.86985093,21.0,29.051157,8.051157,0,0,-0.0,1.127141
35480,-0.9288525,0.9288525,21.0,29.386053,8.386053,0,0,-0.0,1.127141
35481,-0.94421273,0.94421273,22.0,29.451345,7.4513454,0,0,-0.0,1.127141
35482,-1.0875037,1.0875037,23.0,29.774366,6.7743664,0,0,-0.0,1.1270965
35483,-1.120265,1.120265,23.0,29.768545,6.768545,0,0,-0.0,1.1269087
35484,-0.8878917,0.8878917,23.0,29.138924,6.1389236,0,0,-0.0,1.1269087
35485,-0.9036587,0.9036587,23.0,29.68683,6.6868305,0,0,-0.0,1.1269087
35486,-0.8231191,0.8231191,23.0,30.103312,7.1033115,0,0,-0.0,1.1269087
35487,-0.9841332,0.9841332,24.0,30.017965,6.0179653,0,0,-0.0,1.1269087
35488,-0.9713935,0.9713935,24.0,29.388044,5.3880444,0,0,-0.0,1.1269087
35489,-0.97868186,0.97868186,25.0,29.853443,4.853443,0,0,-0.0,1.1269087
35490,-1.0815321,1.0815321,27.0,29.994028,2.994028,0,0,-0.0,1.1268517
35491,-1.1811234,1.1811234,28.0,29.456371,1.4563713,1,-1,-1.4563713,1.1268222
35492,-0.888172,0.888172,28.0,29.711018,1.7110176,0,0,-0.0,1.1268517
35493,-1.1228215,1.1228215,28.0,29.32554,1.3255405,0,0,-0.0,1.1268517
35494,-0.6539834,0.6539834,28.0,28.170603,0.1706028,0,0,-0.0,1.1268517
35495,-0.7001417,0.7001417,28.0,28.329054,0.32905388,0,0,-0.0,1.1268517
35496,-0.80516833,0.80516833,28.0,28.05296,0.052959442,0,0,-0.0,1.1268517
35497,-0.8704516,0.8704516,28.0,28.061718,0.061717987,0,0,-0.0,1.1268517
35498,-1.0175496,1.0175496,28.0,27.979408,-0.020591736,0,0,0.0,1.1268517
35499,-1.1347723,1.1347723,27.0,28.738914,1.7389145,1,-1,-1.7389145,1.1268222
35500,-0.8585241,0.8585241,28.0,28.562748,0.56274796,0,0,-0.0,1.1268517
35501,-1.1188883,1.1188883,28.0,26.991928,-1.0080719,0,0,0.0,1.1268517
35502,-0.654506,0.654506,28.0,25.89631,-2.1036892,0,0,0.0,1.1268517
35503,-0.7013596,0.7013596,28.0,25.97026,-2.0297394,0,0,0.0,1.1268517
35504,-0.80386937,0.80386937,29.0,26.455614,-2.544386,0,0,0.0,1.1268517
35505,-0.86419463,0.86419463,31.0,27.66395,-3.33605,0,0,0.0,1.1268517
