date,open,high,low,close,amount,end_time,volume,count,buy_amount,buy_volume,null,symbol
2020-01-13 11:20:00,8116.36,8120.32,8112.2,8118.23,106.745655,1578914699999.0,866439.8214192,1026.0,42.142937,342092.75352811,0.0,BTCUSDT
2020-01-13 11:25:00,8118.22,8121.59,8113.01,8113.83,62.266172,1578914999999.0,505452.73597158,741.0,29.881692,242584.40691063,0.0,BTCUSDT
2020-01-13 11:30:00,8113.83,8115.37,8102.26,8102.73,91.738269,1578915299999.0,744003.6268208,870.0,29.929515,242754.70774413,0.0,BTCUSDT
2020-01-13 11:35:00,8102.64,8109.42,8100.0,8104.0,76.534369,1578915599999.0,620276.51186123,907.0,37.645685,305118.92663256,0.0,BTCUSDT
2020-01-13 11:40:00,8104.28,8110.0,8100.0,8100.7,120.791295,1578915899999.0,979095.937659,998.0,63.292513,513088.66198518,0.0,BTCUSDT
2020-01-13 11:45:00,8100.0,8104.99,8095.01,8101.94,101.770049,1578916199999.0,824348.06355653,1238.0,50.546739,409447.98122148,0.0,BTCUSDT
2020-01-13 11:50:00,8102.09,8111.99,8101.02,8107.57,71.284926,1578916499999.0,577900.31169574,842.0,40.383352,327367.2792968,0.0,BTCUSDT
2020-01-13 11:55:00,8107.58,8111.9,8075.0,8075.01,372.612301,1578916799999.0,3015384.17933913,1850.0,173.729749,1406039.65521277,0.0,BTCUSDT
2020-01-13 12:00:00,8076.86,8083.9,8065.0,8074.5,430.259868,1578917099999.0,3473670.11606523,2285.0,126.637497,1022621.6912453,0.0,BTCUSDT
2020-01-13 12:05:00,8073.7,8085.37,8069.36,8072.48,142.999061,1578917399999.0,1154794.99731609,1301.0,64.396493,520060.70916196,0.0,BTCUSDT
2020-01-13 12:10:00,8072.48,8080.0,8066.0,8066.0,115.200768,1578917699999.0,930103.02194377,1169.0,50.665911,409146.15864803,0.0,BTCUSDT
2020-01-13 12:15:00,8065.09,8088.73,8055.89,8086.73,297.351389,1578917999999.0,2399396.12657767,2002.0,134.852095,1088561.56563206,0.0,BTCUSDT
2020-01-13 12:20:00,8086.54,8090.93,8079.49,8084.0,151.852161,1578918299999.0,1227672.88815517,1177.0,65.931797,533000.70046825,0.0,BTCUSDT
2020-01-13 12:25:00,8083.44,8086.38,8080.98,8084.94,82.856659,1578918599999.0,669764.81892325,660.0,45.780422,370067.18069104,0.0,BTCUSDT
2020-01-13 12:30:00,8084.94,8093.01,8079.24,8092.21,95.899049,1578918899999.0,775349.27495697,837.0,64.820531,524107.32026777,0.0,BTCUSDT
2020-01-13 12:35:00,8092.1,8095.85,8085.45,8085.87,144.053513,1578919199999.0,1165612.42600542,881.0,60.78861,491826.25764225,0.0,BTCUSDT
2020-01-13 12:40:00,8085.87,8093.83,8082.05,8091.9,99.760775,1578919499999.0,806645.83922177,859.0,42.226851,341447.33297127,0.0,BTCUSDT
2020-01-13 12:45:00,8092.62,8095.02,8084.51,8086.97,94.85248,1578919799999.0,767220.66119322,882.0,48.382119,391334.5422346,0.0,BTCUSDT
2020-01-13 12:50:00,8087.29,8088.99,8080.73,8082.92,86.390997,1578920099999.0,698414.79607846,773.0,36.46905,294827.25238841,0.0,BTCUSDT
2020-01-13 12:55:00,8083.22,8096.11,8079.35,8092.85,82.267091,1578920399999.0,665276.75979482,935.0,35.537323,287339.94828543,0.0,BTCUSDT
2020-01-13 13:00:00,8093.16,8096.97,8086.31,8096.03,90.531134,1578920699999.0,732737.02299923,797.0,42.927552,347443.44453641,0.0,BTCUSDT
2020-01-13 13:05:00,8096.0,8098.18,8089.85,8096.18,79.433999,1578920999999.0,642986.97993667,800.0,38.084827,308296.57325359,0.0,BTCUSDT
2020-01-13 13:10:00,8096.19,8107.67,8094.52,8105.61,150.155829,1578921299999.0,1216196.90929021,1229.0,81.848394,662938.91145015,0.0,BTCUSDT
2020-01-13 13:15:00,8106.84,8114.48,8101.14,8110.42,110.057518,1578921599999.0,892241.86554775,1220.0,40.926226,331793.77701522,0.0,BTCUSDT
2020-01-13 13:20:00,8110.32,8110.58,8100.42,8103.18,71.188126,1578921899999.0,576987.60040689,806.0,24.974888,202428.89174568,0.0,BTCUSDT
2020-01-13 13:25:00,8103.18,8109.92,8100.61,8103.89,74.638191,1578922199999.0,604934.93178391,863.0,29.668644,240449.78809689,0.0,BTCUSDT
